Scopus refine results values

"Your query : (AFFIL(Iran))"


Number of results : 1152

"Dezful","1",,,,,,,,,,,,,,,,,,,,,,,,
"Dorud","1",,,,,,,,,,,,,,,,,,,,,,,,
"East Azarbaijan","1",,,,,,,,,,,,,,,,,,,,,,,,
"Esfarayen","1",,,,,,,,,,,,,,,,,,,,,,,,
"Esfarāyen","1",,,,,,,,,,,,,,,,,,,,,,,,
"Eslamshahr","1",,,,,,,,,,,,,,,,,,,,,,,,
"Estahban","1",,,,,,,,,,,,,,,,,,,,,,,,
"Fars","1",,,,,,,,,,,,,,,,,,,,,,,,
"Firuzabad","1",,,,,,,,,,,,,,,,,,,,,,,,
"Gachsaran","1",,,,,,,,,,,,,,,,,,,,,,,,
"Garmsar","1",,,,,,,,,,,,,,,,,,,,,,,,
"Gerash","1",,,,,,,,,,,,,,,,,,,,,,,,
"Gonbad Kavoos","1",,,,,,,,,,,,,,,,,,,,,,,,
"Gonbad Kavous","1",,,,,,,,,,,,,,,,,,,,,,,,
"Hashtgerd","1",,,,,,,,,,,,,,,,,,,,,,,,
"Iran","1",,,,,,,,,,,,,,,,,,,,,,,,
"Kashmar","1",,,,,,,,,,,,,,,,,,,,,,,,
"Kazerun","1",,,,,,,,,,,,,,,,,,,,,,,,
"Khomein","1",,,,,,,,,,,,,,,,,,,,,,,,
"Khomeyni Shahr","1",,,,,,,,,,,,,,,,,,,,,,,,
"Khorramshahr","1",,,,,,,,,,,,,,,,,,,,,,,,
"Lahijan","1",,,,,,,,,,,,,,,,,,,,,,,,
"Larestan","1",,,,,,,,,,,,,,,,,,,,,,,,
"Mahshahr","1",,,,,,,,,,,,,,,,,,,,,,,,
"Majlesi","1",,,,,,,,,,,,,,,,,,,,,,,,
"Marand","1",,,,,,,,,,,,,,,,,,,,,,,,
"Marvdasht","1",,,,,,,,,,,,,,,,,,,,,,,,
"Mazandaran","1",,,,,,,,,,,,,,,,,,,,,,,,
"Meymand","1",,,,,,,,,,,,,,,,,,,,,,,,
"Namin","1",,,,,,,,,,,,,,,,,,,,,,,,
"Neishabour","1",,,,,,,,,,,,,,,,,,,,,,,,
"Neyriz","1",,,,,,,,,,,,,,,,,,,,,,,,
"Orumie","1",,,,,,,,,,,,,,,,,,,,,,,,
"Parand","1",,,,,,,,,,,,,,,,,,,,,,,,
"Parsabad","1",,,,,,,,,,,,,,,,,,,,,,,,
"Qaem Shahr","1",,,,,,,,,,,,,,,,,,,,,,,,
"Qods","1",,,,,,,,,,,,,,,,,,,,,,,,
"Qorveh","1",,,,,,,,,,,,,,,,,,,,,,,,
"Ramsar","1",,,,,,,,,,,,,,,,,,,,,,,,
"Razavi Khorasan","1",,,,,,,,,,,,,,,,,,,,,,,,
"Safadasht","1",,,,,,,,,,,,,,,,,,,,,,,,
"Sahand","1",,,,,,,,,,,,,,,,,,,,,,,,
"Saravan","1",,,,,,,,,,,,,,,,,,,,,,,,
"Sarvestan","1",,,,,,,,,,,,,,,,,,,,,,,,
"Sepidan","1",,,,,,,,,,,,,,,,,,,,,,,,
"Shabestar","1",,,,,,,,,,,,,,,,,,,,,,,,
"Shahreza","1",,,,,,,,,,,,,,,,,,,,,,,,
"Shahriar","1",,,,,,,,,,,,,,,,,,,,,,,,
"Shooshtar","1",,,,,,,,,,,,,,,,,,,,,,,,
"Tabriz East Azarbaijan","1",,,,,,,,,,,,,,,,,,,,,,,,
"Takestan","1",,,,,,,,,,,,,,,,,,,,,,,,
"Torbat-e Jam","1",,,,,,,,,,,,,,,,,,,,,,,,
"Tuyserkan","1",,,,,,,,,,,,,,,,,,,,,,,,
"Yazd,","1",,,,,,,,,,,,,,,,,,,,,,,,
" Besat Hospital","1",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
